la	3|8|14|15|20|24|36|37|38|39|40|41|46|49
label	0|1|2|3|8|12|13
land	16|31|42|43|44|45|46|49
landed	38|43
landfall	18|45
landing	42|43|45
lands	15|20|27|31|36|41|43|44|45|46|49
language	4|11|28|42|43|44|45
largely	1|11|17|26|42
larger	0|1|37
largest	0|24|27|28|38|39|41|42|43|44|45|49
last	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49
lasted	42
lasting	43
lasts	15|39|45
late	0|2|7|8|9|10|20|23|29|34|39|40|42|44|45
launch	1|36|42|43|44|45|46
launched	27|43|44|45|46|49
launches	39|41|42|43|45|49
