'	2606|2607|2611|2613|2616|2622
'03	2622
'4'	2622
'80s	2613
'Battle'	2617
'Cater	2622
'DMGT	2606
'Da	2615
'Daddys-Home'	2616
'Dallas'	2612
'Damn	2616
'Dance	2622
'Death	2611
'Em	2613
'Favourite	2611
'Feels	2622
'Hurrah	2606
'I'm	2614
'Journal	2607
'Listen	2613
'Love	2617
'Most	2611
'New	2619
'News'	2607
'Nice'	2614
'Paroles	2611
'Post'	2607
'Run	2622
'Tell	2613
'The	2614
'Times'	2607
'Top	2611
'Woman	2611
'Yankees'	2615
'aka'	2611
'anti-Muslim'	2609
'average'	2614
'dreamings'	2610
'normal'	2614
's	2612|2622
'will	2606
'you'd	2622
-	2606|2607|2608|2609|2610|2611|2612|2613|2614|2615|2616|2617|2618|2619|2620|2621|2622|2623|2624|2625
--	2614|2615|2616
--Gloria	2616
--Joe	2616
--Lola	2616
--Meg	2616
--Mr	2616
--Orchestra	2616
--Van	2616
--were	2616
-y	2611|2618
0	2612
0-14-303672-6	2619
0-19-550649-9	2610
0-306-80837-4	2615
0-312-30143-X	2623|2625
0-345-45542-8	2621
0-374-13456-1	2614
0-495-50530-7	2620
0-520-24550-4	2620
0-571-21569-6	2619
0-7148-3752-0	2610
0-7329-0140-5	2614
0-7735-2644-7	2614
0-8223-2514-4	2623|2625
0-9577481-4-0	2610
00	2611|2612|2613
000	2606|2607|2608|2609|2611|2612|2621
0006-2510	2620
000ft	2609
000th	2609
01	2607|2612|2613|2614|2616
0155062298	2618
019	2615
02	2607|2612|2620
03	2612|2614|2622
04	2607|2609|2612|2618
05	2610|2612|2617|2622
0522854346	2610
06	2607|2612|2614
07	2606|2612|2613|2614|2617|2622|2623|2625
08	2608|2612|2613
08pard	2613
09	2612|2614
094965986X	2610
0956-8069	2608
1	2606|2607|2608|2609|2610|2611|2612|2613|2614|2615|2616|2617|2618|2619|2620|2621|2622|2623|2625
1's	2622
1-14	2612
1-55652-754-3	2611
1-85828-247-0	2623|2625
1-876622-47-4	2610
1-year	2612
10	2606|2607|2608|2609|2610|2611|2612|2613|2614|2615|2616|2617|2619|2622
10-12	2612
10-14	2612
100	2606|2607|2609|2611|2612|2614|2617|2620|2621|2622
100-best-songs-of-the-aughts-20110617	2618
1000	2614
10004	2607
101	2611
103244	2617
104	2606|2610
1055_DailyStar_GTARothbury	2609
1057430074172	2614
107	2610|2619
10s	2622
10th	2612
11	2606|2607|2609|2610|2611|2612|2614|2615|2616|2617|2619|2622
11-2	2612
11-acre	2606
110	2606
