'	1132|1137|1142|1164|1167|1172|1177
'''very'''	1145
''BBC	1150
''George	1150
''Jimmy	1150
''less''	1145
''more''	1145
'03	1172
'3'	1167
'50s	1133
'60	1164
'60s	1133
'70	1164
'80	1164
'90	1164
'93'	1174
'After	1167
'Al	1137
'Ali	1137
'All	1132|1148
'Amen'	1129
'Asian	1156
'At	1144
'Atlantic	1158
'Atomic	1177
'Atomism	1177
'Australian	1163
'BBC	1150
'BGT'	1148
'Baby	1167
'Bad'	1132
'Belize'	1151
'Best	1147|1148
'Bout	1175
'Box	1132
'Braidwood's	1163
'Break	1130
'Breaking	1132
'Breaking'	1132
'Brit	1147
'Britain	1158
'Britain's	1148
'British	1151|1158
'British'	1158
'Britney	1167
'Britney'	1167
'Broken	1172
'Broken-Hearted	1172
'Brotherhood	1156
'Buck	1129
'C86'	1161
'Christ-like	1147
'Circus'	1167
'Compelled'	1167
'Control'	1167
'Country	1167|1175
'Cowboy	1175
'Criminal'	1167
'Deep'	1130
'Dreamers'	1161
'Electra	1167
'Etudes	1177
'Ever	1169
'Face	1132
'Fan'	1174
'Femme	1167
'Firework'	1172
'Five	1174
'Freedom	1175
'Funniest	1148
'Girls'	1132
'Glee'	1167
'Great	1158
'Had	1167
'He's	1132
'Here	1167
'Hip	1156
'Hold	1167
'Homeland	1132
'Honeymoon	1169
'I	1132|1167|1172
'I'll	1148
'I'm	1167
'Indian	1168
'Its	1156
'Judas'	1167
'Kids	1148
'Known	1156
'Little	1169
'Mad	1132
'Man	1156
'MasterCard	1147
'Matilda	1169
'Most	1148
'Mother's'	1167
'Motown	1169
'My	1167|1169
'N	1167
'NSYNC	1167
'Nations'	1150
'Newsies'	1169
'Nice	1169
'Night	1129
'Oh	1129
'On	1177
'Once'	1169
'One	1167
'Only	1175
'Oops	1167
'Outstanding	1147
'Pick	1164
'Picnic'	1169
'Prince	1169
'Prospect	1174
'Pulse'	1172
'Rocky	1156
'S	1167
'Saint	1144
'Sets	1167
'Sounds	1155
'Symbolise	1156
'Systems	1174
'The	1132|1155|1156|1158|1169
'This	1167
'Till	1167
'Toxic'	1167
'UK	1156
'Untitled	1156
'Urban'	1173
'Watch	1169
'Wayz	1156
'Weeds'	1132
'What's	1167
'Which	1156
'X	1167
'XXIII'	1156
'You	1175
'Zayd	1137
'a	1164
'a'	1155
'aa'	1155
'active'	1166
'ah	1137
'ah'	1155
'bad'	1132
'best-selling	1167
'bigger'	1142
'bots'	1145
'bout	1175
'break'	1129
'broadcast	1150
'civil	1158
'cosmic	1137
'deflectors'	1150
'doubted	1164
'effectively	1164
'em	1175
'eye	1167
'facade'	1153
'failure'	1150
'gay	1143
'greater	1158
'hitting	1147
'horrific'	1148
'hub'	1150
'ilis	1137
'in	1164
'join	1148
'joke'	1167
'just	1167
'known	1164
'l-fudal	1137
'l-ruham	1137
'link-rich'	1145
'lynchpin'	1150
'n	1164
'n'	1129|1161|1167
'naughty	1147
'oldest'	1167
'opt	1150
'overspill'	1150
'peace'	1147
'prayer	1137
'princess	1167
'radical	1150
'really	1132
'replying'	1145
'rolling'	1129
'round	1175
's	1129|1137|1167|1172
'setting	1147
'species'	1128|1168
'supplication	1137
't	1177
'television	1132
'the	1137|1155|1158|1163
'these	1158
'til	1175
'tough	1150
'vision'	1158
'wal-Muanasa	1137
'wobbler'	1167
-	1128|1129|1130|1131|1132|1133|1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|1147|1148|1149|1150|1151|1152|1153|1154|1155|1156|1157|1158|1159|1160|1161|1162|1163|1164|1165|1166|1167|1168|1169|1170|1171|1172|1173|1174|1175|1176|1177
--	1166|1175
---	1144
-0	1143|1150
-2	1146|1150|1176
-3	1150
-4	1158
-42	1150
-6	1144
-63	1150
-64	1166
-7	1144|1150|1157
-73	1169
-On	1168
-Q8EAAAAMBAJ	1150
-RCeAAAACAAJ	1154
-Y	1159
-fa	1154
-gsEAAAAMBAJ	1138
-hOkx7Gi4OoC	1154
-og	1159
-qIzhamrT2kC	1158
-recommended	1128
-y	1161
0	1128|1132|1135|1143|1145|1147|1150|1153|1157|1158|1164|1165|1166|1167|1175|1177
0-00-711870-8	1159
0-06-017056-5	1154
0-12-179780-5	1158
0-14-043133-0	1154
0-14-101844-5	1154
0-14-200210-0	1154
0-19-212971-6	1150
0-19-280202-X	1158
0-19-316121-4	1129
0-19-550649-9	1173
0-19-829334-8	1153
0-19-829529-4	1154
0-19-860771-7	1155
0-19-866248-3	1155
0-19-873134-5	1154
0-19-924676-9	1151|1154
0-19-924677-7	1154
0-19-924678-5	1154
0-19-924679-3	1154
0-19-925184-3	1154
0-207-17796-1	1173
0-207-17938-7	1173
0-207-18482-8	1173
0-215-52150-1	1154
0-224-06222-0	1154
0-226-31633-5	1158
0-233-96666-8	1158|1159
0-252-06915-3	1162
0-292-72518-3	1158
0-300-09314-4	1154
0-300-10442-1	1146
0-312-02043-0	1147
0-313-33404-8	1154
0-313-33845-0	1162
0-333-69283-7	1158
0-333-74600-7	1154
0-333-96340-7	1158
0-333-96341-5	1154
0-340-49750-5	1150
0-340-82993-1	1155
0-352-39715-2	1162
0-415-03586-4	1158
0-415-04339-5	1158
0-415-04602-5	1155
0-415-07780-X	1154
0-415-09006-7	1154
0-415-12802-1	1150
0-415-12811-0	1158
0-415-13102-2	1154
0-415-18709-5	1137
0-415-20338-4	1154
0-415-22053-X	1162
0-415-25887-1	1176
0-415-32611-7	1154
0-415-35632-6	1154
0-415-94399-X	1162
0-415-97160-8	1162
0-465-02328-2	1154
0-465-02329-0	1154|1158
0-465-04355-0	1177
0-471-90670-0	1177
0-486-21869-4	1168
0-486-60304-0	1177
0-500-01398-5	1169
0-500-18158-6	1146
0-521-00254-0	1154
0-521-20093-8	1137
0-521-27698-5	1154
0-521-28409-0	1155
0-521-54228-6	1154
0-521-62181-X	1155
0-521-77736-4	1158
0-521-81103-1	1154
0-522-85317-X	1173
0-571-11537-3	1150
0-582-43807-1	1153
0-618-25210-X	1162
0-631-15529-5	1150
0-631-16457-X	1169
0-631-19439-8	1154
0-631-20968-9	1154
0-631-21581-6	1159
0-631-22260-X	1158
0-670-91137-2	1154
0-674-02218-1	1154
0-674-02584-9	1154
0-674-37512-2	1158
0-691-01028-5	1154
0-691-09251-6	1168
0-7100-7947-8	1154
0-7119-6813-6	1162
0-7119-9094-8	1162
0-7119-9396-3	1161
0-7134-7025-9	1176
0-7146-4559-1	1154
0-7153-7430-3	1150
0-7156-2182-3	1150
0-7190-2349-1	1162
0-7190-3244-X	1153
0-7190-4571-1	1162
0-7190-5749-3	1158
0-7313-7088-0	1173
0-7347-2312-1	1173
0-7432-9122-0	1154
0-7456-3162-2	1162
0-7470-3202-5	1128
0-7486-0251-8	1137
0-7486-1745-0	1162
0-7538-2056-0	1154
0-7546-3282-2	1162
0-7546-3584-8	1158
0-7546-5580-6	1162
0-7748-0806-3	1173
0-7864-0606-2	1162
0-7864-0715-8	1154
0-7866-4983-6	1162
0-7866-6525-4	1129
0-7867-1041-1	1150
0-7894-9998-3	1162
0-7914-1515-5	1137
0-7935-7038-7	1141
0-8014-3954-X	1168
0-8021-3932-9	1154
0-8021-3995-7	1129
0-8048-3724-4	1154
0-8050-8001-5	1154
0-8050-8043-0	1145
0-8071-3720-0	1162
