'03	1479|1513
'Abd	1526
'Em	1518
'L'	1480
'N	1518
'Show	1477|1478|1479|1480|1481|1482|1483
-	1477|1478|1479|1480|1481|1482|1483|1484|1485|1486|1487|1488|1489|1490|1491|1492|1493|1494|1495|1496|1497|1498|1499|1500|1501|1502|1503|1504|1505|1506|1507|1508|1509|1510|1511|1512|1513|1514|1515|1516|1517|1518|1519|1520|1521|1522|1523|1524|1525|1526
0	1477|1478|1479|1480|1481|1482|1483|1504|1513|1516
00	1521
000	1477
01	1478|1484|1503|1514|1519
019	1516
02	1499
03	1479
033	1477
034	1478|1479|1480|1481|1482
038	1477
039	1477|1478|1479|1480|1481|1482
040	1477
041	1478|1479|1480|1481|1482
044	1478|1479|1480|1481|1482
05	1477|1513
050	1526
06	1485|1487
07	1478|1525
08	1477|1478|1479|1480|1508|1510|1512|1516|1517|1524
084	1477|1478|1479|1482
085	1480|1481
09	1493|1519
1	1477|1478|1479|1480|1481|1482|1483|1484|1485|1486|1487|1488|1489|1493|1494|1495|1497|1499|1500|1501|1502|1504|1506|1507|1511|1513|1516|1517|1518|1519|1521|1522|1524|1526
1-2-3	1517
1-50	1480
10	1478|1480|1483|1487|1488|1490|1492|1493|1494|1501|1502|1504|1506|1507|1511|1514|1515|1521|1522|1525|1526
100	1477|1478|1479|1515|1516|1526
1000	1477
10050	1477
101	1478|1481|1504
103	1486
104	1504
105	1478|1484|1495|1504|1521
107	1477|1478|1484|1493
1070s	1477|1481
1074	1477
108	1477|1478|1479|1480|1481|1482|1493
1080s	1481
1089	1481
108th	1482
1095	1478
10NES	1477
10th	1477|1479|1480
11	1478|1480|1483|1485|1486|1487|1488|1489|1492|1497|1500|1501|1502|1504|1505|1507|1525|1526
110	1484|1504
1100s	1477
110th	1481
111	1478|1479|1480|1481|1482
112	1504
113	1478
114	1478|1487|1504
115	1504
116	1494|1523
117	1478
118	1481
11th	1479|1482
12	1477|1478|1479|1480|1482|1483|1486|1487|1491|1492|1498|1499|1500|1501|1502|1503|1504|1506|1507|1509|1516|1520|1523|1524|1525|1526
120	1478|1484|1493
121	1477|1486|1493|1503|1504
122	1478|1479|1480|1481|1482
1230s	1478
125	1479
126	1487|1500
127	1477
129	1478|1479|1480|1481|1482
12th	1482
13	1477|1479|1481|1482|1483|1485|1486|1488|1489|1492|1497|1498|1500|1501|1504|1506|1507|1519|1520|1521|1522
130	1484|1504
131	1477|1478|1479|1480|1481|1482|1506|1507
133	1526
136	1521|1524
137	1501
138	1504
13th	1477|1479|1480
14	1481|1482|1483|1495|1497|1501|1503|1504|1506
144	1485|1492
145452	1479
145th	1482
146	1477
1476	1477
14th	1478
15	1478|1480|1481|1482|1483|1485|1486|1488|1489|1492|1494|1495|1497|1500|1501|1502|1504|1506|1507|1517
150	1478|1479|1480|1481|1482|1499
151	1484
152	1480
1526	1477
153	1502
155	1484|1493
157	1485|1495|1504
1570s	1477
1571	1477
157th	1479|1482
158	1499
15miles	1480
16	1480|1483|1487|1492|1495|1499|1502|1504|1510|1514|1521|1524|1525
160	1478
1600	1477
161	1485|1526
1624	1480
163	1484
165	1484
1660	1481
1662	1482
167	1477
168	1499
16Volt	1477
16th	1480
17	1477|1483|1486|1495|1504|1505|1506|1508|1517|1521|1522
170	1478
172	1477|1484
174	1478|1479|1480|1481|1482|1504
175	1484
178	1483
18	1479|1480|1481|1482|1483|1486|1487|1497|1500|1501|1504|1523|1524|1525|1526
180	1478
181	1493
1811	1482
1812	1482
1825	1482
182nd	1479
183	1493
1834	1479
188	1504
189	1504
1893	1478
1896	1488
1897	1477
18th	1482
19	1483|1485|1486|1487|1494|1496|1497|1501|1502|1503|1507|1517|1518|1522
1900	1479
1906	1477|1478
1909	1477
1915	1480
1916	1480
1918	1480
1919	1481
192	1485
1920	1477
1923	1479
1927	1526
1928	1480
1929	1479|1481
1931	1481
1933	1480
1936	1482
1938	1479
194	1493
1941	1478|1482
1942	1478
1948	1477|1479|1481
195	1477
1951	1478|1482|1515
1952	1480|1515
1953	1481|1515
1954	1481|1515
1955	1477|1505|1515
1956	1505|1515
1957	1505|1515
1958	1481|1482|1505|1515
1959	1477|1481|1482|1505|1515
196	1478|1479|1480|1481|1482
1960	1479|1482|1505|1515
1961	1480|1505|1515
1962	1479|1480|1515
1963	1481|1515|1516
1964	1482|1515
1965	1515
1966	1481|1515
1967	1481|1515
1968	1515
1969	1480|1515
1970	1480|1481|1488|1515
1970s	1477
1971	1488|1515
1972	1477|1479|1480|1515
1973	1477|1480|1515
1974	1477|1515
1975	1477|1479|1515
1976	1515
1977	1515
1978	1515
1979	1477|1479|1480|1482|1515
1980	1480|1482|1515
1980s	1481|1515
1981	1515
1982	1479|1482|1515
1983	1482|1515
1984	1481|1515
1985	1515
1986	1481|1482|1515
1987	1515
1988	1479|1515
1989	1481|1515
199	1502
1990	1478|1479|1481|1488|1515
1990s	1515
1991	1481|1488|1515
1992	1515
1993	1478|1515
1994	1477|1480|1515
1995	1515
1996	1480|1483|1515
1997	1477|1478|1479|1515|1516
1998	1479|1515
1999	1480|1515|1517
19th	1480
19th-century	1506|1522
1st	1477|1479|1480|1481|1482
2	1477|1478|1479|1480|1481|1482|1483|1484|1485|1486|1487|1488|1490|1491|1493|1494|1495|1497|1499|1501|1502|1504|1506|1507|1508|1513|1515|1516|1518|1519|1521|1522|1524|1525|1526
2-10-2	1481
2-6-2	1481
20	1477|1479|1481|1482|1483|1486|1488|1495|1500|1501|1502|1504|1515|1519|1522|1524|1525|1526
20-point	1482
200	1477|1478|1479|1480|1481|1482|1484|1515|1516|1517|1518|1526
2000	1480|1481|1515
2000s	1479|1480|1481|1515
2001	1480|1515
2002	1479|1480|1482|1515
2003	1478|1480|1482|1515
2004	1477|1478|1479|1480|1481|1482|1515
2005	1479|1480|1482|1515
2006	1477|1478|1479|1480|1481|1482|1515
2007	1477|1478|1479|1480|1481|1482|1483|1515
2008	1477|1478|1479|1480|1481|1482|1483|1496|1515
2009	1477|1478|1479|1480|1481|1482|1483|1515
201	1482
2010	1477|1478|1479|1480|1481|1482|1483|1488|1515
2010-05	1478
2010-11	1480
2011	1477|1478|1479|1480|1481|1482|1483|1488|1489|1491|1498|1514|1515|1526
2012	1477|1478|1479|1480|1481|1482|1483|1484|1485|1487|1490|1492|1493|1494|1495|1497|1500|1502|1503|1504|1505|1507|1508|1511|1512|1513|1515|1516|1517|1518|1519|1520|1524
2012-03	1477
2012-05	1479
2012-09	1482
2012-11	1481
2012-2013	1483
2013	1477|1478|1479|1480|1481|1482|1483|1486|1488|1496|1499|1501|1506|1509|1510|1515|1521|1522|1523|1525
2013-01	1483
2017	1481
2024	1477
2030	1479
2040	1477
