's	1848|1870
-	1827|1828|1829|1830|1831|1832|1833|1834|1835|1836|1837|1838|1839|1840|1841|1842|1843|1844|1845|1846|1847|1848|1849|1850|1851|1852|1853|1854|1855|1856|1857|1858|1859|1860|1861|1862|1863|1864|1865|1866|1867|1868|1869|1870|1871|1872|1873|1874|1875|1876
-algebra	1854
-fa	1832|1851|1863
-net	1847
-related	1833
-yllion	1843
0	1829|1834|1852|1859|1869
00	1865
01	1834|1858|1865|1876
02	1830|1857|1859
03	1849|1871
04	1828|1846
05	1835
06	1833|1845
07	1842|1843|1871
08	1833|1836|1842|1863|1870
09	1853
1	1827|1828|1829|1830|1832|1834|1835|1836|1837|1838|1841|1842|1843|1844|1846|1848|1850|1851|1853|1855|1856|1859|1863|1865|1866|1868|1869|1870|1875
10	1828|1829|1832|1836|1838|1844|1848|1853|1855|1856|1858|1860|1862|1863|1864|1868
100	1838
101	1842|1847|1851|1863|1870
102	1842
103	1837
105	1829|1836|1837|1871
106	1832
107	1842
108	1834|1838
109	1832|1859|1866
11	1828|1829|1830|1832|1833|1837|1839|1845|1848|1850|1851|1852|1855|1862|1863|1864|1866|1868|1869
110	1830|1836
111	1832
113	1848
114	1833
115	1827
116	1859
118	1859
119	1844|1866
12	1828|1829|1830|1832|1833|1838|1842|1845|1848|1850|1851|1853|1857|1862|1863|1864|1868
120	1838|1851
121	1832
124	1838
12th	1834
13	1827|1828|1832|1837|1842|1844|1847|1853|1856|1862|1863|1866|1868
130	1830|1838
132	1844
133	1842|1859
136	1850|1859
137	1848
138	1838
14	1828|1830|1831|1832|1838|1839|1844|1849|1851|1853|1854|1855|1859|1863|1873
141	1869
142	1832
144	1853
145	1842|1856
147	1837
15	1827|1829|1832|1835|1836|1838|1842|1851|1863|1868|1875
151	1857
152	1830|1832
155	1854
157	1832
158	1830|1832|1867
16	1827|1828|1829|1832|1837|1838|1844|1845|1850|1851|1855|1860|1863|1866|1868
160	1830
162	1859
164	1868
165	1838
166	1845
167	1832|1836
17	1830|1831|1832|1833|1836|1838|1841|1842|1843|1848|1851|1859|1864|1865|1867|1868|1870|1873
174	1838
18	1828|1829|1833|1837|1842|1843|1847|1850|1851|1857|1863|1864|1868|1871|1876
184	1832
185	1836
186	1863
1892	1833
1898	1834
19	1827|1830|1837|1838|1844|1845|1851|1853|1856|1862|1863|1869
191	1863
1915	1833
1959	1833
197	1836
198	1829|1838|1844
1980s	1874
1985	1833
199	1838
1990s	1874
19th-century	1830
2	1827|1828|1829|1830|1832|1833|1834|1835|1836|1837|1838|1841|1842|1844|1846|1847|1848|1850|1851|1853|1854|1855|1856|1857|1859|1862|1863|1864|1865|1866|1868|1869|1870|1871|1872|1873|1874|1875
2-opt	1844
20	1827|1828|1832|1834|1835|1837|1839|1842|1851|1860|1862|1863|1866|1867|1868
200	1829|1834|1837|1852|1859
2000s	1874
2005	1833
2007	1830|1834
2008	1834|1854
2009	1834
201	1833|1869
2010	1834|1841|1871
2010s	1874
2011	1833|1834|1860|1861|1865|1869|1875
2012	1827|1830|1833|1834|1836|1838|1839|1840|1842|1843|1844|1845|1847|1849|1853|1855|1856|1857|1858|1862|1866|1867|1870|1872|1873|1874|1876
2013	1828|1829|1831|1832|1834|1835|1837|1846|1848|1850|1851|1852|1859|1863|1864|1868
202	1837
205	1863
21	1828|1832|1840|1842|1848|1850|1851|1852|1853|1855|1856|1857|1861|1863|1868|1874|1875
210	1868
211	1859
216	1838
217	1832
219	1850
22	1828|1831|1832|1833|1836|1837|1839|1843|1844|1852|1857|1862|1863|1866
224	1833
229	1863
23	1827|1832|1836|1837|1838|1846|1848|1850|1852|1853|1856|1861|1863|1866|1872|1873
231	1859
232	1857
235	1859
239	1851|1852
24	1832|1837|1838|1841|1849|1853|1857|1861|1862|1863|1865|1866|1868|1874
241	1832
244	1834
248	1838
249	1851|1859
25	1832|1836|1844|1845|1846|1857|1858|1860|1862|1868|1870
250037692	1854
254	1829
2562	1834
26	1830|1836|1837|1840|1846|1855|1862|1863|1864|1871
27	1828|1832|1836|1844|1852|1853|1864|1868
