'	3111|3115|3117|3118|3120|3123|3124|3129|3130|3158
''	3122
''A	3128
''Estuary	3122
''The	3111
''Transcribing	3122
'70s	3118
'76	3118|3150
'77	3150|3151
'78	3151
'80	3152
'80s	3110|3154
'81	3152
'83	3153
'84	3153
'90s	3110|3118|3154
'A	3111|3117
'Abb	3147
'Accessible	3131
'All	3123
'Block	3124
'Bobby	3109
'Cadillac	3132
'Carrots	3131
'Criminal	3158
'DaWeasel'	3154
'Devil'	3118
'Do'	3116
'Em	3154
'Enough	3115
'Essence'	3115
'Europe'	3147
'Europe's	3147
'Everything	3123
'Ewige-Wiederkunfts-Gedanke'	3123
'GINGER'	3110
'Goodness	3147
'Group'	3118
'Last'	3132
'London	3122
'Low-carbon	3158
'Memoro	3111
'Presentism	3124
'Red	3111
'S	3127
'Seksaj	3111
'The	3111|3118
'This	3123
'U	3112
'UEFA	3148
'United	3158
'V'	3120
'W'	3120
'Wanda	3109
'Wiki	3117
'Window	3109
'You	3123
'a	3112
'advisors'	3128
'an	3128
'anguish	3111
'b'	3120
'baggage'	3120
'bank	3120
'big	3123
'blood	3120
'bogus'	3117
'cite	3117
'continents'	3139
'cur'	3120
'dd'	3126
'de-coupling'	3158
'dialect	3130
'edge	3120
'element'	3135
'ereb	3147
'ethnic	3129
'ethnic'	3129
'ethnicized	3129
'ethnics'	3129
'expert'	3117
'ff	3136|3137
'field	3124
'future'	3124
'genetic	3147
'geographic'	3158
'greatest	3123
'grey-eyed'	3147
'grown-ups'	3111
'h'	3120
'healing	3118
'here'	3112
'hoof'	3120
'i'	3120
'inefficient'	3158
'international'	3111
'ipsa	3133
'j'	3120
'kah'	3109
'koer'	3120
'kool'	3120
'language'	3130
'left	3139
'letter'	3135
'loans'	3147
'lob'	3120
'look	3154
'loopima'	3120
'mast	3120
'modern	3147
'n'	3132
'neutrals	3158
'nook'	3120
'nurk'	3120
'one'	3124
'ox-eyed'	3147
'p'	3120
'pagas'	3120
'present'	3124
'r'	3120
'race'	3129
'racial	3129
'racialized	3129
'resembles	3133
'roll	3120
's	3154|3158
's'	3120
'sheet'	3120
'skool'	3120
'soft	3158
'species'	3140|3141
'standard'	3111
'stool'	3120
'stupid	3120
'supranational	3158
't	3154
'the	3123
'thematic'	3158
'this	3112
'thought	3123
'to	3112|3120
'tool'	3120
'total	3124
'town'	3120
'training'	3118
'undesirable'	3158
'v'	3120
'w'	3120
'when	3154
-	3109|3110|3111|3112|3113|3114|3115|3116|3117|3118|3119|3120|3121|3122|3123|3124|3125|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138|3139|3140|3141|3142|3143|3144|3145|3146|3147|3148|3149|3150|3151|3152|3153|3154|3155|3156|3157|3158
--	3118|3120|3124
-0-33-68275-0	3147
-E	3141
-How	3114
-a	3111
-a083966944	3118
-aj	3111
-ajn	3111
-an	3111
-as	3111
-based	3154
-da	3120
-e	3111
-et-	3112
-fa	3147|3158
-han	3120
-i	3111|3120
-ilo	3111
-is	3111
-j-	3111
-landa	3112
-like	3143|3146
-logia	3131
-ma	3120
-n	3111
-o	3111|3112
-o-	3111
-oj	3111
-ojn	3111
-on	3111
-os	3111
-tud	3120
-u	3111
-um-	3111
-us	3111
-y	3140
0	3111|3112|3117|3118|3120|3121|3128|3132|3138|3140|3141|3147|3150|3151|3152|3153|3158
0-00-219728-6	3140|3141
0-00-714705-8	3141
0-06-053040-5	3118
0-13-181629-2	3138
0-14-010241-8	3147
0-14-026561-9	3147
0-14-044534-X	3147
0-14-051153-9	3147
0-19-502754-X	3134
0-19-507618-4	3147
0-19-509201-5	3118
0-19-517077-6	3158
0-19-530411-X	3141
0-19-561857-2	3140
0-19-815221-3	3147
0-19-820171-0	3147
0-19-850127-7	3136|3137
0-19-850825-5	3136|3137
0-19-854099-X	3140|3141
0-19-854668-8	3141
0-19-928075-4	3147
0-19-957080-9	3158
0-201-50867-2	3136|3137
