'	1954
'Cause	1937
'Til	1937|1951
'em	1937
-	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
0	1937
00	1953
02	1942
03	1939|1948
04	1942
05	1947|1954|1955
06	1939|1941
09	1937|1938|1951|1953
1	1937|1938|1940|1943|1945|1947|1948|1949|1952|1953|1954|1955|1956
10	1937|1938|1940|1944|1945|1948|1954|1955
100	1937
102	1954
104	1954
107	1948|1955
11	1938|1941|1945|1948|1949|1954
112	1945
113	1946
115	1943
116	1955
11784	1946
11785	1946
12	1938|1940|1941|1943|1948|1950|1952|1954|1955|1956
120	1943
125	1954
13	1938|1940|1943|1948|1954|1955
136	1947|1948
137	1940|1954
139	1947
14	1940|1943|1945|1946|1947|1948|1952|1954
140	1943|1946
14223	1946
14443	1946
15	1941|1944|1945|1948|1954
150	1941|1945
155	1955
157	1940
16	1940|1947|1952|1953|1955|1956
161	1938
17	1941|1947|1948|1950|1952|1954
170	1948
172	1952
178	1938
18	1938|1940|1943|1954
180	1955
18000	1946
18000-3	1946
181	1940
184	1942
1885	1943
19	1940|1946|1948|1952|1956
1997	1937
2	1937|1938|1939|1940|1943|1944|1945|1947|1948|1950|1952|1953|1954|1955
20	1938|1947|1948
200	1937|1954
201	1949
2010	1953|1954
2011	1951|1954
2012	1937|1940|1941|1942|1943|1945|1946|1947|1948|1949|1950|1952|1954|1956
2013	1938|1939|1943|1944|1955
21	1944|1952|1953|1954|1955|1956
211	1940
22	1938|1945|1948|1954|1955
225	1941
23	1938|1939|1948|1954
230	1949
232	1949
24	1937|1938|1942|1943|1944|1949
25	1941|1943|1948
259	1937
26	1949|1950
27	1946|1948|1951|1952|1954
274	1954
28	1945|1948|1949|1954
29	1938|1948
292	1955
2DEG	1944
3	1937|1938|1941|1942|1943|1945|1946|1947|1948|1949|1950|1952|1953|1954|1955|1956
30	1952|1954
31	1948|1952
312	1949
319	1940
32	1939|1947|1948|1954
33	1943|1950
34	1948
344	1948
36	1939|1948
38	1938|1954
389063279	1953
39	1954
3dvia	1942
4	1937|1938|1940|1942|1943|1944|1945|1946|1947|1948|1950|1953|1954|1955
40	1954
41	1937|1944|1948
42	1943|1945|1948
43	1940|1944
436474974	1951
45	1954
46	1945
47	1944
48	1941
49	1949
5	1938|1939|1940|1941|1943|1945|1947|1948|1952|1954|1956
50	1949|1952|1954|1956
503232091	1947
508868176	1942
51	1948
511293397	1945
515780484	1949
515949569	1950
516014932	1946
518154666	1952
519544132	1937
520755018	1948
525272640	1954
525852341	1956
527733097	1940
529689485	1941
53	1952|1954
531682109	1944
532676257	1955
534448473	1939
537421342	1943
538017273	1938
55	1954
56	1948|1952
57	1946
58	1941|1951|1954
59	1943
6	1938|1940|1941|1944|1945|1948|1949|1953|1954|1955
60	1945
62	1954
63	1938
64	1942
67	1942|1954
68	1948
69	1952
7	1938|1939|1945|1948|1954|1956
70	1937|1949
72	1940|1954
73	1944|1948
78	1954
79	1940
8	1938|1941|1943|1948|1952|1954
80	1937
83	1938|1951
86	1952
87	1945
88	1940
9	1937|1938|1943|1945|1948|1949|1950|1952|1954|1955
90	1952
911	1943
93	1937
95	1950
98	1940
9814072356	1952
A	1937|1938|1942|1943|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955
A'z	1949
A-Long	1937
A-Love	1937
AIDS	1954
AMPS	1947
AN	1946
AQuoSA	1950
AS5678	1946
About	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Absorption	1947
Abstrakt	1949
Accompanied	1948
Actions	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Active	1947
Adams	1949
Addicted	1937
Adhesive	1948
Adi	1937
Adore	1937
Advance	1942
Aerowagon	1948
Affairs	1954
African	1953
African-American	1955
Afrikaans	1938|1948
Afrocentrism	1943
After	1937
Again	1937|1946|1951
Against	1937
Agapi	1937
Age	1943|1952
Ages	1943
Agility	1946
Agnew	1937
Aguilera	1937
Ahnenerbe	1943
Ailill	1943
Air-line	1948
Airport	1948
Akakor	1943
Al	1937
Albrecht	1946
Alemannisch	1938
Alexanderson	1947
Alguien	1937
Alice	1937
All	1937|1947|1949|1951
Alla	1937
Almost	1937|1952
Alone	1937|1951
Already	1937
Alternative	1953
Always	1937
Am	1951
Amateur	1947
America	1943|1945|1954
American	1937|1943|1947|1951|1955
Americas	1943
Amor	1937
Ampliphase	1947
Amusement	1948
An	1937
Anacalypsis	1943
Ancient	1943
And	1937|1951
Angel	1937|1946
Angelia	1937
Angels	1937
Anglo-Israelism	1943
Anne	1943
Annette	1955
Another	1937
Answer	1937
Ant	1952
Antediluvian	1943
Antenna	1947
Antes	1937
Anti-Christian	1954
Anti-clericalism	1954
Antique	1947
Antolog	1937
Anyone	1937
Anything	1937
Anytime	1937
Anywhere	1937
Apologize	1937
Application	1946
Applied	1946|1954
Aragon	1938|1949|1955
Aras	1942
Arc	1947
Are	1937
Armenian	1943
Arms	1937
Armstrong	1947
Around	1937|1951
Arrangements	1948
Arrow	1937
Art	1937
Arthur	1950
As	1937
Ashton	1946
Asignatura	1937
Asked	1951
Associates	1942
Association	1942|1948|1954
Assyria	1943
At	1937
Atlantis	1943
Atom	1950
Atropos	1950
Attribution-ShareAlike	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
August	1942
Auto-ID	1946
Autobiographical	1952
Automatic	1946
Avril	1937
Award	1955
Awards	1955
Away	1937
Axle	1948
Ay	1937
Ayer	1937
Az	1938|1941|1948|1949|1954
B	1937|1938|1940|1943|1944|1945|1946|1947|1948|1949|1951|1952|1954|1955|1956
Babe	1937
Baby	1937|1955
Baby-Baby-Baby	1937
Babylons	1943
Back	1937|1951
Backstreet	1937
Baconian	1943
Bad	1937
Bag	1946
Bah	1954
Bahasa	1938|1948|1954
Balise	1948
Ballad	1937
Ballads	1937
Balun	1947
Baroness	1954
Baseband	1947
Battlefield	1937
Batwing	1947
Baxter	1937
Be	1937|1951
Beast	1937
Beautiful	1937
Beauty	1937
Because	1937|1951
Beckett	1949
Become	1937
Bector	1949
Bedingfield	1937
Bedlam	1952
Been	1937
Before	1937
Being	1951
Beitman	1947
Bell	1939
Belle	1937
Ben	1937
Berkley	1954
Besides	1938
Besos	1937
Best	1937|1955
Better	1937|1954
Bicycle	1948
Big	1937
Bigger	1937
Billy	1949
Bin	1946
Biometric	1946
Bit	1937
Black	1937|1945|1946
Blame	1937
Blank	1937
Blasphemous	1937
Bleeding	1937
Blood	1943
Blowing	1937
Blue	1937|1951
Bluer	1937
Blues	1951|1955
Bluetooth	1946
Boarisch	1938|1948|1949|1955
Bobbie	1951
Boghosian	1946
Boogaloo	1956
Book	1943
Books	1943
Boris	1952
Born	1937
Bosanski	1938|1941|1952
Bosnian	1943
Boy	1951|1954
Boys	1937
Braid-breaker	1947
Branch	1948
Brand	1937
Breakaway	1937
Breakfast	1937
Breaking	1937
Breathe	1937
Brezhoneg	1938
Bridge	1937
Bringin'	1937
Britanniae	1943
British	1955
Broadcast	1947
Broken	1937|1951
Broken-Hearted	1937
Brooke	1949
Brotherhood	1954
Brought	1937
Brown-eyed	1956
Brus	1944
Buat	1937
Bubbly	1937
Buddhist	1954
Bulgarian	1952
Bulk	1946
Bunton	1937
Burn	1937
Burst	1946
Business	1940
Businessmen's	1954
Bustitution	1948
Butterflies	1937
Butterfly	1937
Bye	1937
C	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
CAD	1942
CASPIAN	1946
CAT	1938
CATIA	1942
CPU	1950
CVG	1938
Call	1937|1951
Calling	1937
Calypso	1946
Cambashi	1942
Can	1937
Can't	1937|1951
Canal	1948
Candace	1943
Candidates	1938
Candle	1937
Candy	1949
Cape	1948
Captain	1937
Car	1948
Careless	1937
Carey	1937
Caroline	1954
Carolyna	1937
Carpenter's	1952
Carry	1937
Casa	1937
Cat's	1937
Cat's-whisker	1947
Catal	1938|1943|1945|1948|1949|1952|1955
Categories	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Categorizing	1938
Category	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Catholic	1943|1954
Cathy's	1951
Cavity	1947
Cebuano	1938
Cel-Fi	1947
Celeste	1937
Cellular	1947|1952
Censorship	1954
Center	1946|1954
Centric	1942
Cerca	1937
Cetera	1937
Chains	1937
Chakra	1949
Challenge	1952
Change	1943
Change-making	1952
Chaos	1943
Charge	1944
Chariots	1943
Charles	1943
Chasing	1937
Cheers	1937
Chelsea	1951
Cher	1937
Chiasson	1943
Chicago	1943
Chief	1948
Childhood	1937
Chiniquy	1943
Christian	1954
Christina	1937
Christmas	1937
Chronology	1943
Church	1954
Cimatron	1942
Circle	1937
Citizens	1954
Civil	1940|1954
Clarkson	1937|1951
Class	1949
Clementine	1937
Climb	1937
Clipped	1946
Closer	1937
Closure	1948
Clown	1951
Clyde	1947
Code	1946
Coexistence	1954
Cognio	1946
Coherer	1947
Coin	1952
Collect	1946
Collins	1947
Collision	1943
Colors	1937
Colossal	1944
Colour-blind	1945
Combinatorial	1952
Combined	1948
Come	1937
Comes	1937|1951
Coming	1937
Common	1948
Commons	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Communication	1947
Communications-based	1948
Community	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
CompactRIO	1950
Companies	1948
Competition	1940
Computer-aided	1942
Computer-integrated	1942
Con	1937
Concerned	1954
Concrete	1942
Condensed	1944
Conductance	1944
Conference	1940|1954
Confessions	1937
Conflict	1940
Confraternity	1945
Congress	1948
Connor	1937
Consider	1951
Consumer	1940
Contact	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Contactless	1946
Contemporary	1955|1956
Contentious	1943
Contents	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Contract	1940
Contre	1937
Control	1950
Conway	1952
Cool	1937
Coraz	1937
Corazonado	1937
Corp	1942
Corporations	1940
Corps	1947
Corre	1937
Could	1937
Could've	1937
Coulomb	1944
Council	1954
Count	1937
Counted	1952
Counterpoise	1947
Cowgirls	1951
Cox	1954
Cradle	1937
Create	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Creative	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Creek	1951
Creo	1942
Cried	1937
Criteria	1938
Critical	1943
Crosley	1947
Cross-figure	1952
Crunk	1956
Crusade	1954
Cry	1937|1951
Cryptosystems	1946
Crystal	1947
Cult	1943|1954
Cults	1954
Cultural	1939
Culture	1938
Current	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Curve	1948
Cymraeg	1938|1943|1954
D	1937|1942|1943|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
D-Cubed	1942
DASH7	1946
DELMIA	1942
DS-2	1942
Dalitstan	1943
Dancehall	1953
Daniel	1937|1939
Dansk	1938|1943|1948|1949|1955
Dark	1937
Daughter	1937
Daxcad	1942
Day	1937
Days	1938
Dead	1948
Deadheading	1948
Deal	1951
December	1940|1941|1956
Decirte	1937
Dee	1955
Deep	1956
Del	1937
Demodulation	1947
Denial	1943
Denying	1943
Der	1943
Derailment	1948
Derbyite	1943
Description	1938
Design	1942
Designation	1947
Detector	1947
Deutsch	1938|1948|1949|1952|1955
Dialectrix	1949
Diddy	1937
Die	1937
Dielectric	1947
Diesel	1948
Dieselisation	1948
Digital	1942|1946|1947|1948
Diplexer	1947
Direct-conversion	1947
Direction	1946
Directory	1938
Dirty	1937
Disciples	1943
Disclaimers	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Disengagement	1954
Disney	1937
Do	1951
Dock	1948
Does	1951
Doesn't	1937
Dollar	1949
Domino	1952
Don	1951
Don't	1937|1951
Donate	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Doo-wop	1956
Down	1937
Download	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Drama	1943
Dream	1937
Dreams	1951
Drink	1937
Dub	1953
Dummy	1947
Duplexer	1947
E	1937|1938|1939|1940|1942|1944|1946|1947|1948|1950|1951|1952|1954
EXI	1946
Ear	1946
Earliest	1950
Earth	1943
Economic	1939
Economics	1945|1954
Ed	1952
Edit	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Education	1938|1954
Edwin	1947
Eesti	1938|1949|1952
Egyptian	1952
Eight	1952
El	1949
Electric	1948
Electric-field	1947
Electrical	1942
Electrically	1944|1947
Electrolytic	1947
Electromagnetic	1947
Electron	1947
Electronic	1946
Electronics	1944|1947
Electropop	1937
Elements	1942
Eleusis	1952
Elevated	1948
Elton	1937
Embedded	1950
Emma	1937
Encyclopaedia	1948
End	1937
Engine	1948|1950
Engineer's	1948
England	1943|1951
English	1948|1949
Enhancement	1944
Enrique	1937
Enterprise	1942
Envelope	1947
Environment	1954
Environmental	1948
Equal	1952
Erenlai	1954
Error	1947
Erthi	1937
Espa	1937|1938|1943|1944|1946|1948|1949|1950|1952|1953|1954|1955|1956
Esperanto	1941|1948|1949|1955
Ethnic	1945|1954
Eudoxa	1946
Eugene	1947
Europe	1954|1955
European	1940|1948
Euskara	1938|1944|1949|1952
Evacuation	1946
Even	1951
Event	1946
Events	1946
Every	1951
Eyes	1937
F	1937|1938|1940|1942|1943|1944|1945|1946|1947|1948|1949|1951|1952|1954|1956
FLR-9	1946
FRACTRAN	1952
Factor	1948
Faith	1954
Fall	1937
Fallin'	1951
Falling	1937
Family	1940
Fancy	1951
Fast	1946
Father	1937
Fear	1951
Featured	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
February	1938|1943
Feed	1947
Feel	1937
Feels	1937|1951
Fellowship	1954
Female	1949
Femap	1942
Fergie	1937
Ferry	1948
Fictional	1949
Fields	1941|1952
Fill	1948
Find	1951
Finger	1951
Fingerprints	1943
Fire	1943
First	1951
Five	1947
Flat	1943
Flexagon	1952
Flux	1944
Fly	1937
Fomenko	1943
Fool	1951
For	1937|1947|1951
Forever	1937|1951
Forget	1937
Forschungsstelle	1943
Foundation	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Fran	1938|1942|1943|1944|1948|1949|1952|1954|1955
Frederick	1949
Free	1937
Freedom	1943|1954
Freighthopping	1948
French	1940|1943
Frequency	1946|1947
Friend	1937
Fringe	1943
Frog	1948
From	1937|1938|1939|1940|1941|1942|1943|1944|1945|1946|1947|1948|1949|1950|1951|1952|1953|1954|1955|1956
Fujiwara	1952
Fun	1937
Funicular	1948
Funk	1956
Funkger	1947
Fuzzy	1946
G	1937|1938|1942|1943|1946|1947|1948|1951|1952|1953|1954|1955
GHz	1947
